Mode: dice
Shots: 100

Raw counts (bitstring -> frequency):
000 : 29
001 : 18
010 : 26
011 : 25
100 : 29
101 : 32
110 : 26
111 : 15

Samples (first 200 shown):
   1: 6
   2: 6
   3: 6
   4: 6
   5: 6
   6: 6
   7: 6
   8: 6
   9: 6
  10: 6
  11: 6
  12: 6
  13: 6
  14: 6
  15: 6
  16: 6
  17: 6
  18: 6
  19: 6
  20: 3
  21: 3
  22: 3
  23: 3
  24: 3
  25: 3
  26: 3
  27: 3
  28: 3
  29: 3
  30: 3
  31: 3
  32: 3
  33: 3
  34: 5
  35: 5
  36: 5
  37: 5
  38: 5
  39: 5
  40: 5
  41: 5
  42: 5
  43: 5
  44: 5
  45: 5
  46: 5
  47: 5
  48: 5
  49: 5
  50: 1
  51: 1
  52: 1
  53: 1
  54: 1
  55: 1
  56: 1
  57: 1
  58: 1
  59: 1
  60: 1
  61: 1
  62: 4
  63: 4
  64: 4
  65: 4
  66: 4
  67: 4
  68: 4
  69: 4
  70: 4
  71: 4
  72: 4
  73: 4
  74: 4
  75: 2
  76: 2
  77: 2
  78: 2
  79: 2
  80: 2
  81: 2
  82: 2
  83: 5
  84: 5
  85: 5
  86: 5
  87: 5
  88: 5
  89: 5
  90: 5
  91: 5
  92: 5
  93: 5
  94: 5
  95: 5
  96: 1
  97: 1
  98: 1
  99: 1
 100: 1

Total samples: 100
